location_id,City,Area
1,Hyderabad,Ameerpet
2,Bangalore,Madhapur
3,Chennai,Kondapur
4,Kolkata,Gachibowli
5,Mumbai,Uppal
6,Pune,Kukatpally
7,Delhi,LB Nagar
8,Jaipur,Begumpet
9,Lucknow,Miyapur
10,Ahmedabad,Attapur
11,Surat,Mehdipatnam
12,Nagpur,Tolichowki
13,Indore,Banjara Hills
14,Bhopal,Jubilee Hills
15,Coimbatore,Dilsukhnagar
16,Visakhapatnam,Kothapet
17,Vijayawada,Vanasthalipuram
18,Mysore,Malakpet
19,Thiruvananthapuram,Secunderabad
20,Kochi,Tarnaka
21,Kozhikode,Nacharam
22,Guwahati,Habsiguda
23,Shillong,ECIL
24,Chandigarh,Malkajgiri
25,Dehradun,Alwal
26,Shimla,Bowenpally
27,Patna,Sainikpuri
28,Ranchi,West Marredpally
29,Bhubaneswar,East Marredpally
30,Raipur,Begumpet Airport
31,Gangtok,Himayatnagar
32,Aizawl,Narayanguda
33,Imphal,Chikkadpally
34,Agartala,RTC X Roads
35,Panaji,Musheerabad
36,Daman,Domalguda
37,Diu,Somajiguda
38,Kavaratti,Erragadda
39,Port Blair,Moosapet
40,CityAN,Sanath Nagar
41,CityAO,Balkampet
42,CityAP,SR Nagar
43,CityAQ,Yousufguda
44,CityAR,Punjagutta
45,CityAS,Khairatabad
46,CityAT,Nampally
47,CityAU,Charminar
48,CityAV,Falaknuma
49,CityAW,Chandrayangutta
50,CityAX,Shaikpet
