review_id,tool_id,reviewer_id,rating,comment
1,1,10,4,"Good tool"
2,2,20,5,Excellent
3,3,30,3,Average
4,4,40,5,"Highly recommended"
5,5,50,2,"Not satisfied"
6,6,60,4,"Good experience"
7,7,70,5,Excellent
8,8,80,3,Average
9,9,90,4,"Good tool"
10,10,100,5,"Highly recommended"
11,11,110,4,"Good experience"
12,12,120,5,Excellent
13,13,130,3,Average
14,14,140,4,"Good tool"
15,15,150,5,"Highly recommended"
16,16,160,2,"Not satisfied"
17,17,170,4,"Good experience"
18,18,180,5,Excellent
19,19,190,3,Average
20,20,200,4,"Good tool"
21,21,210,5,"Highly recommended"
22,22,220,4,"Good experience"
23,23,230,5,Excellent
24,24,240,3,Average
25,25,250,4,"Good tool"
26,26,260,5,"Highly recommended"
27,27,270,2,"Not satisfied"
28,28,280,4,"Good experience"
29,29,290,5,Excellent
30,30,300,3,Average
31,31,310,4,"Good tool"
32,32,320,5,"Highly recommended"
33,33,330,4,"Good experience"
34,34,340,5,Excellent
35,35,350,3,Average
36,36,360,4,"Good tool"
37,37,370,5,"Highly recommended"
38,38,380,2,"Not satisfied"
39,39,390,4,"Good experience"
40,40,400,5,Excellent
41,41,410,3,Average
42,42,420,4,"Good tool"
43,43,430,5,"Highly recommended"
44,44,440,4,"Good experience"
45,45,450,5,Excellent
46,46,460,3,Average
47,47,470,4,"Good tool"
48,48,480,5,"Highly recommended"
49,49,490,2,"Not satisfied"
50,50,500,4,"Good experience"
51,51,5,5,Excellent
52,52,15,4,"Good tool"
53,53,25,3,Average
54,54,35,5,"Highly recommended"
55,55,45,4,"Good experience"
56,56,55,5,Excellent
57,57,65,2,"Not satisfied"
58,58,75,4,"Good tool"
59,59,85,5,"Highly recommended"
60,60,95,3,Average
61,61,105,4,"Good experience"
62,62,115,5,Excellent
63,63,125,4,"Good tool"
64,64,135,3,Average
65,65,145,5,"Highly recommended"
66,66,155,4,"Good experience"
67,67,165,5,Excellent
68,68,175,3,Average
69,69,185,4,"Good tool"
70,70,195,5,"Highly recommended"
71,71,205,4,"Good experience"
72,72,215,5,Excellent
73,73,225,3,Average
74,74,235,4,"Good tool"
75,75,245,5,"Highly recommended"
76,76,255,2,"Not satisfied"
77,77,265,4,"Good experience"
78,78,275,5,Excellent
79,79,285,4,"Good tool"
80,80,295,3,Average
81,81,305,5,"Highly recommended"
82,82,315,4,"Good experience"
83,83,325,5,Excellent
84,84,335,3,Average
85,85,345,4,"Good tool"
86,86,355,5,"Highly recommended"
87,87,365,4,"Good experience"
88,88,375,5,Excellent
89,89,385,3,Average
90,90,395,4,"Good tool"
91,91,405,5,"Highly recommended"
92,92,415,4,"Good experience"
93,93,425,5,Excellent
94,94,435,3,Average
95,95,445,4,"Good tool"
96,96,455,5,"Highly recommended"
97,97,465,4,"Good experience"
98,98,475,5,Excellent
99,99,485,3,Average
100,100,495,4,"Good tool"
101,101,5,5,Excellent
102,102,15,4,"Good tool"
103,103,25,3,Average
104,104,35,5,"Highly recommended"
105,105,45,4,"Good experience"
106,106,55,5,Excellent
107,107,65,2,"Not satisfied"
108,108,75,4,"Good tool"
109,109,85,5,"Highly recommended"
110,110,95,3,Average
111,111,105,4,"Good experience"
112,112,115,5,Excellent
113,113,125,4,"Good tool"
114,114,135,3,Average
115,115,145,5,"Highly recommended"
116,116,155,4,"Good experience"
117,117,165,5,Excellent
118,118,175,3,Average
119,119,185,4,"Good tool"
120,120,195,5,"Highly recommended"
121,121,205,4,"Good experience"
122,122,215,5,Excellent
123,123,225,3,Average
124,124,235,4,"Good tool"
125,125,245,5,"Highly recommended"
126,126,255,2,"Not satisfied"
127,127,265,4,"Good experience"
128,128,275,5,Excellent
129,129,285,4,"Good tool"
130,130,295,3,Average
131,131,305,5,"Highly recommended"
132,132,315,4,"Good experience"
133,133,325,5,Excellent
134,134,335,3,Average
135,135,345,4,"Good tool"
136,136,355,5,"Highly recommended"
137,137,365,4,"Good experience"
138,138,375,5,Excellent
139,139,385,3,Average
140,140,395,4,"Good tool"
141,141,405,5,"Highly recommended"
142,142,415,4,"Good experience"
143,143,425,5,Excellent
144,144,435,3,Average
145,145,445,4,"Good tool"
146,146,455,5,"Highly recommended"
147,147,465,4,"Good experience"
148,148,475,5,Excellent
149,149,485,3,Average
150,150,495,4,"Good tool"
151,151,10,5,Excellent
152,152,20,4,"Good tool"
153,153,30,3,Average
154,154,40,5,"Highly recommended"
155,155,50,4,"Good experience"
156,156,60,5,Excellent
157,157,70,2,"Not satisfied"
158,158,80,4,"Good tool"
159,159,90,5,"Highly recommended"
160,160,100,3,Average
161,161,110,4,"Good experience"
162,162,120,5,Excellent
163,163,130,4,"Good tool"
164,164,140,3,Average
165,165,150,5,"Highly recommended"
