txn_id,reservation_id,amount,txn_date
2,2,600,8-Jan-25
9,9,600,25-Jan-25
12,12,600,1-Feb-25
19,19,600,15-Feb-25
22,22,600,21-Feb-25
29,29,600,7-Mar-25
32,32,600,13-Mar-25
39,39,600,27-Mar-25
42,42,600,2-Apr-25
49,49,600,16-Apr-25
62,62,600,12-May-25
69,69,600,26-May-25
72,72,600,1-Jun-25
79,79,600,15-Jun-25
82,82,600,21-Jun-25
89,89,600,5-Jul-25
92,92,600,11-Jul-25
99,99,600,25-Jul-25
112,112,600,20-Aug-25
119,119,600,3-Sep-25
122,122,600,9-Sep-25
129,129,600,23-Sep-25
132,132,600,29-Sep-25
139,139,600,13-Oct-25
142,142,600,19-Oct-25
149,149,600,2-Nov-25
162,162,600,28-Nov-25
169,169,600,12-Dec-25
172,172,600,18-Dec-25
179,179,600,1-Jan-24
182,182,600,7-Jan-24
189,189,600,21-Jan-24
192,192,600,27-Jan-24
199,199,600,10-Feb-24
212,212,600,7-Mar-24
219,219,600,21-Mar-24
222,222,600,27-Mar-24
229,229,600,10-Apr-24
232,232,600,16-Apr-24
239,239,600,30-Apr-24
242,242,600,6-May-24
249,249,600,20-May-24
262,262,600,15-Jun-24
269,269,600,29-Jun-24
272,272,600,5-Jul-24
279,279,600,19-Jul-24
282,282,600,25-Jul-24
289,289,600,8-Aug-24
292,292,600,14-Aug-24
299,299,600,28-Aug-24
312,312,600,23-Sep-24
319,319,600,7-Oct-24
322,322,600,13-Oct-24
329,329,600,27-Oct-24
332,332,600,2-Nov-24
339,339,600,16-Nov-24
342,342,600,22-Nov-24
349,349,600,6-Dec-24
362,362,600,1-Jan-25
369,369,600,15-Jan-25
372,372,600,21-Jan-25
379,379,600,4-Feb-25
382,382,600,10-Feb-25
389,389,600,24-Feb-25
392,392,600,2-Mar-25
399,399,600,16-Mar-25
412,412,600,11-Apr-25
419,419,600,25-Apr-25
422,422,600,1-May-25
429,429,600,15-May-25
432,432,600,21-May-25
439,439,600,4-Jun-25
442,442,600,10-Jun-25
449,449,600,24-Jun-25
462,462,600,20-Jul-25
469,469,600,3-Aug-25
472,472,600,9-Aug-25
479,479,600,23-Aug-25
482,482,600,29-Aug-25
489,489,600,12-Sep-25
492,492,600,18-Sep-25
499,499,600,2-Oct-25
1,1,500,5-Jan-25
3,3,450,10-Jan-25
4,4,700,12-Jan-25
5,5,550,15-Jan-25
6,6,800,18-Jan-25
7,7,650,20-Jan-25
8,8,720,22-Jan-25
10,10,580,28-Jan-25
11,11,500,30-Jan-25
13,13,450,3-Feb-25
14,14,700,5-Feb-25
15,15,550,7-Feb-25
16,16,800,9-Feb-25
17,17,650,11-Feb-25
18,18,720,13-Feb-25
20,20,580,17-Feb-25
21,21,500,19-Feb-25
23,23,450,23-Feb-25
24,24,700,25-Feb-25
25,25,550,27-Feb-25
26,26,800,1-Mar-25
27,27,650,3-Mar-25
28,28,720,5-Mar-25
30,30,580,9-Mar-25
31,31,500,11-Mar-25
33,33,450,15-Mar-25
34,34,700,17-Mar-25
35,35,550,19-Mar-25
36,36,800,21-Mar-25
37,37,650,23-Mar-25
38,38,720,25-Mar-25
40,40,580,29-Mar-25
41,41,500,31-Mar-25
43,43,450,4-Apr-25
44,44,700,6-Apr-25
45,45,550,8-Apr-25
46,46,800,10-Apr-25
47,47,650,12-Apr-25
48,48,720,14-Apr-25
50,50,580,18-Apr-25
51,51,610,20-Apr-25
52,52,720,22-Apr-25
53,53,540,24-Apr-25
54,54,680,26-Apr-25
55,55,560,28-Apr-25
56,56,810,30-Apr-25
57,57,640,2-May-25
58,58,730,4-May-25
59,59,610,6-May-25
60,60,590,8-May-25
61,61,500,10-May-25
63,63,450,14-May-25
64,64,700,16-May-25
65,65,550,18-May-25
66,66,800,20-May-25
67,67,650,22-May-25
68,68,720,24-May-25
70,70,580,28-May-25
71,71,500,30-May-25
73,73,450,3-Jun-25
74,74,700,5-Jun-25
75,75,550,7-Jun-25
76,76,800,9-Jun-25
77,77,650,11-Jun-25
78,78,720,13-Jun-25
80,80,580,17-Jun-25
81,81,500,19-Jun-25
83,83,450,23-Jun-25
84,84,700,25-Jun-25
85,85,550,27-Jun-25
86,86,800,29-Jun-25
87,87,650,1-Jul-25
88,88,720,3-Jul-25
90,90,580,7-Jul-25
91,91,500,9-Jul-25
93,93,450,13-Jul-25
